 ID,Place Name,Place Locatioon,Place Image,is place free,Created,Updated
19,The Flower Shop,"1300 E 7th St, Austin, TX 78702, USA","{'url':'67d0a0ad72d897095c386252c9440e47df9e9e20ca6fab7fda9a0df1af28d147.jpg','size':1920813,'width':4032,'height':3024,'filename':'image.jpg','metadata':{'width':4032,'height':3024,'blurHash':'e56aq?9aM|xuRjxvbboeWBt60M-oxaRka}IUt6R*ofRk%KIpRkt6n$','blurHashWidth':32}}",,2025-04-20T01:49:39.347Z,2025-05-27T21:47:27.628Z
18,armadillo den,"10106 Menchaca Rd, Austin, TX 78748, USA",,,2025-04-19T23:21:16.300Z,2025-05-25T01:15:02.673Z
17,Equinox,"1007 S Congress Ave Ste 100, Austin, TX 78704, USA","{'url':'717fbef99e47106b49fe2720c7d3ae183a06774c79a99456cc4c07f55964ddd5.jpg','size':2587710,'width':4032,'height':3024,'filename':'image.jpg','metadata':{'width':4032,'height':3024,'blurHash':'eOGIDj~V=|-:%M%1MxM{oKoJt6%Mt7WDj[D%ozxuazWBIUs.WBM|ay','blurHashWidth':32}}",,2025-04-14T12:03:28.125Z,2025-07-01T19:26:56.521Z
16,Barton Springs,"Barton Jaycee Fields, 600 Azie Morton Rd, Austin, TX 78704, USA","{'url':'0676004efd2e9ebb8bdc01e61fc47c47e60d22efc0390bb44d4ac4c9f5502dd1.png','size':783371,'width':566,'height':636,'filename':'Screenshot 2025-04-24 at 5.26.48 PM.png','metadata':{'width':566,'height':636,'blurHash':'eGCQ[3%%.9.9tSrBx]x]x]xvJC.8oftRxvyZ%htStSt8?bR+ogogWC','blurHashWidth':32}}",FALSE,2025-04-13T19:28:47.154Z,2025-06-30T03:46:34.357Z
15,The Catherine,"214 Barton Springs Rd, Austin, TX 78704, USA",,,2025-04-13T03:09:00.587Z,2025-04-13T03:09:00.587Z
14,Radio Rosewood,"1115 E 11th St, Austin, TX 78702, USA","{'url':'47a14395978acb33559af04f90243acdfe5254286bb3adef2273a3df7f5ea2c1.jpg','size':2306807,'width':4032,'height':3024,'filename':'image.jpg','metadata':{'width':4032,'height':3024,'blurHash':'efD0[sI8t7RkWByGV=R*ofaxM|t7f5kCayVWWXs;WBogI8V@bcf5kC','blurHashWidth':32}}",,2025-04-12T22:16:02.610Z,2025-05-26T19:35:29.153Z
13,Zanzibar,"304 E Cesar Chavez St, Austin, TX 78701, USA",,,2025-04-12T20:31:17.877Z,2025-05-26T19:35:36.326Z
12,Loro,"2115 S Lamar Blvd, Austin, TX 78704, USA","{'url':'fe9b999da0298f3a430e2a28dc21f59037ea9b1a8a932309a3a54a14ca548e8a.jpg','size':4872491,'width':4032,'height':3024,'filename':'image.jpg','metadata':{'width':4032,'height':3024,'blurHash':'eRFPW:H;tTtSMwT#I8tStRROt9MwkDofaxDix[a#RjofaJtRfkWBWB','blurHashWidth':32}}",,2025-04-09T00:52:46.328Z,2025-06-24T00:49:17.013Z
11,Gold’s Gym,"4404 W William Cannon Dr Ste D, Austin, TX 78749, USA","{'url':'a379104548830890b3623e188a52bbf7bb12ea1a45d6c49bc1451909a8286388.png','size':501493,'width':570,'height':760,'filename':'Screenshot 2025-04-07 at 10.41.53 PM.png','metadata':{'width':570,'height':760,'blurHash':'etC@XExuozogj[yGogj[ofj]tSj?WBWCayM{WBaxWBaeaJj]j]ofj]','blurHashWidth':32}}",FALSE,2025-04-06T18:34:18.005Z,2025-05-23T22:49:39.283Z
10,Chalmers,"1700 E Cesar Chavez St, Austin, TX 78702, USA","{'url':'e1ec501bf8ef6daebae8d0cc848ab2641e0a8208c111e1aa25fe389242aa4ce7.jpeg','size':1346073,'width':1284,'height':1535,'filename':'F3099D0B-ADDD-47A1-9176-0BB683B78C1B.jpeg','metadata':{'width':1284,'height':1535,'blurHash':'etKBj.oLtQoft6?woeofbHay.8f*aet7WBIpt7RjjZWBxuj[RjWBof','blurHashWidth':32}}",,2025-04-06T00:33:29.016Z,2025-06-20T03:33:45.394Z
9,Lady Bird Trail,"2 Robert T Martinez Jr St, Austin, TX 78702, USA","{'url':'0742e8e88d523631ba548135c069fb17171a46737673b24681df20bf36fce39e.jpg','size':4996493,'width':4032,'height':3024,'filename':'image.jpg','metadata':{'width':4032,'height':3024,'blurHash':'efG[.tn#D%ogt7%%NFM_ogof_3RiWAt7WBx]WBogWCRjkDWVt7WAR%','blurHashWidth':32}}",,2025-04-05T20:45:27.153Z,2025-07-01T18:08:44.376Z
8,Matt’s El Rancho,"2613 S Lamar Blvd, Austin, TX 78704, USA","{'url':'3f7dd346b3996c7a450bca1c1bfccf24657db87d83fdf5b1b2dad3b18cda1263.jpeg','size':4543294,'width':4032,'height':3024,'filename':'01AC07B9-EE74-4FE5-A7EF-C8C0AB41F3C6.jpeg','metadata':{'width':4032,'height':3024,'blurHash':'eMF=BkI-%gRPsp_M9Y-pWAWBPTDi%MNZWU-;rsbvaes:,@XSxtniWV','blurHashWidth':32}}",,2025-04-04T23:44:30.704Z,2025-05-23T22:49:19.122Z
6,Guest House,"110 San Antonio St Ste R140, Austin, TX 78701, USA","{'url':'a665dd38c2bebf9e52f307f778591dbe7d8a9bbf601a82394881689f3b6441ff.png','size':2926726,'width':1138,'height':1490,'filename':'Screenshot 2025-04-07 at 10.40.33 PM.png','metadata':{'width':1138,'height':1490,'blurHash':'e5AJi+~UE3?GD*0L9ZE2xu?a0g-:-oRjRk0LIU%1RkIVe-t6%MNHt7','blurHashWidth':32}}",FALSE,2025-04-03T01:30:52.918Z,2025-05-23T22:44:26.880Z
5,Red Rocks Church,"7625 N Interstate Hwy 35, Austin, TX 78752, USA","{'url':'f15dd51d226fd3569b87158fbd89c7ef9752c5126429f29eebd9de45bd7fe814.jpeg','size':175785,'width':780,'height':624,'filename':'5C4AB19E-7240-4932-81C7-BE4FED94B3B0.jpeg','metadata':{'width':780,'height':624,'blurHash':'euGbuBIAWBxufk~qM{ayxboftRxuWBoft7of%MWBWBt7tRt7s:WBf6','blurHashWidth':32}}",,2025-04-01T08:09:54.421Z,2025-06-29T21:19:44.309Z
4,Latchkey,"1308 E 6th St, Austin, TX 78702, USA","{'url':'4922dc3501456c2c7c373e517e3dc7f3dbb24b4c12d34e1b7b5423139e49724f.jpeg','size':59283,'width':348,'height':348,'filename':'05A7F237-7222-4950-A7AA-922D843DF28D.jpeg','metadata':{'width':348,'height':348,'blurHash':'eQF#%ZE0WXv|sE%joaNdnNS~O[ozW-sRNfwjOrV@nNogWHkDkVnNkC','blurHashWidth':32}}",,2025-04-01T07:45:12.258Z,2025-06-29T05:43:16.353Z
3,Concourse Project,"8509 Burleson Rd, Austin, TX 78719, USA","{'url':'9ee492a3b110041d8336baa29984458fe81939b4188d17f9fc65dcbe69a21254.jpg','size':177569,'width':1360,'height':762,'filename':'concourse.jpg','metadata':{'width':1360,'height':762,'blurHash':'eR5}wkavIRogxYfpaxj=j[axIQj^%NadRkoGj^WBaxofxwa#M_j@t5','blurHashWidth':32}}",,2025-04-01T07:39:08.144Z,2025-05-07T20:35:08.555Z
2,Cabana Club,"5012 E 7th St, Austin, TX 78702, USA","{'url':'39972b2dfb5e7bfeeb77c1ba0ec4e6fb8478233bf48cea03b2226ebf767ef0c7.jpg','size':142786,'width':680,'height':454,'filename':'cabana clb.jpg','metadata':{'width':680,'height':454,'blurHash':'eKHVu5_N^i8^R4}8+uInWTMcC8yDELM_WS-pw]xbV?f5mQwb%MkBRi','blurHashWidth':32}}",,2025-04-01T07:35:56.986Z,2025-05-26T19:34:30.672Z
1,Cosmic Saltillo,"1300 E 4th St, Austin, TX 78702, USA","{'url':'0f98af74a4739bc4d75eb0f0f69736307180db64bc18a107d240da4136abc4f2.jpg','size':76816,'width':240,'height':320,'filename':'IMG_4517.jpg','metadata':{'width':240,'height':320,'blurHash':'eRE:3s_N-;oIRiMwWCxut7jtN3ohRkkCofD%V?RjRjWBRPRPRjayof','blurHashWidth':32}}",,2025-04-01T05:05:19.308Z,2025-06-24T18:42:51.862Z
